< 0 DM,6,Critical account,Radio/TV,1169,Unknown,>= 7 years,4,Male (single),None,4,Real estate,67,None,Own,2,Skilled,1,Yes,Yes,1
0 <= ... < 200 DM,48,Existing credits paid back,Radio/TV,5951,< 100 DM,1 <= ... < 4 years,2,Female (separated/married),None,2,Real estate,22,None,Own,1,Skilled,1,None,Yes,2
No checking account,12,Critical account,Education,2096,< 100 DM,4 <= ... < 7 years,2,Male (single),None,3,Real estate,49,None,Own,1,Unskilled,2,None,Yes,1
< 0 DM,42,Existing credits paid back,Furniture,7882,< 100 DM,4 <= ... < 7 years,2,Male (single),Guarantor,4,Life insurance,45,None,For free,1,Skilled,2,None,Yes,1
< 0 DM,24,Delay in paying,Car (new),4870,< 100 DM,1 <= ... < 4 years,3,Male (single),None,4,Unknown or none,53,None,For free,2,Skilled,2,None,Yes,2
No checking account,36,Existing credits paid back,Education,9055,Unknown,1 <= ... < 4 years,2,Male (single),None,4,Unknown or none,35,None,For free,1,Unskilled,2,Yes,Yes,1
No checking account,24,Existing credits paid back,Furniture,2835,500 <= ... < 1000 DM,>= 7 years,3,Male (single),None,4,Life insurance,53,None,Own,1,Skilled,1,None,Yes,1
0 <= ... < 200 DM,36,Existing credits paid back,Car (used),6948,< 100 DM,1 <= ... < 4 years,2,Male (single),None,2,Car or other,35,None,Rent,1,Management,1,Yes,Yes,1
No checking account,12,Existing credits paid back,Radio/TV,3059,>= 1000 DM,4 <= ... < 7 years,2,Male (separated),None,4,Real estate,61,None,Own,1,Unskilled,1,None,Yes,1
0 <= ... < 200 DM,30,Critical account,Car (new),5234,< 100 DM,Unemployed,4,Male (married),None,2,Car or other,28,None,Own,2,Management,1,None,Yes,2
0 <= ... < 200 DM,12,Existing credits paid back,Car (new),1295,< 100 DM,< 1 year,3,Female (separated/married),None,1,Car or other,25,None,Rent,1,Skilled,1,None,Yes,2
< 0 DM,48,Existing credits paid back,Business,4308,< 100 DM,< 1 year,3,Female (separated/married),None,4,Life insurance,24,None,Rent,1,Skilled,1,None,Yes,2
0 <= ... < 200 DM,12,Existing credits paid back,Radio/TV,1567,< 100 DM,1 <= ... < 4 years,1,Female (separated/married),None,1,Car or other,22,None,Own,1,Skilled,1,Yes,Yes,1
< 0 DM,24,Critical account,Car (new),1199,< 100 DM,>= 7 years,4,Male (single),None,4,Car or other,60,None,Own,2,Unskilled,1,None,Yes,2
< 0 DM,15,Existing credits paid back,Car (new),1403,< 100 DM,1 <= ... < 4 years,2,Female (separated/married),None,4,Car or other,28,None,Rent,1,Skilled,1,None,Yes,1
< 0 DM,24,Existing credits paid back,Radio/TV,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,Female (separated/married),None,2,Car or other,32,None,Own,1,Unskilled,1,None,Yes,2
No checking account,24,Critical account,Radio/TV,2424,Unknown,>= 7 years,4,Male (single),None,4,Life insurance,53,None,Own,2,Skilled,1,None,Yes,1
< 0 DM,30,No credits taken,Business,8072,Unknown,< 1 year,2,Male (single),None,3,Car or other,25,Bank,Own,3,Skilled,1,None,Yes,1
